ID;Title*;DOI;Database;Authors;Title;Year;Published In;Abstract;Keywords;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
390;Hybrid credit ranking intelligent system using expert system and artificial neural networks;10.1007/s10489-009-0177-8;Springer;"Bahrammirzaee, Arash; Ghatari, Ali Rajabzadeh; Ahmadi, Parviz; Madani, Kurosh";Hybrid credit ranking intelligent system using expert system and artificial neural networks;2011;Applied Intelligence;The main goal of all commercial banks is to collect the savings of legal and real persons and allocate them as credit to industrial, services and production companies. Non repayment of such credits cause many problems to the banks such as incapability to repay the central bank’s loans, increasing the amount of credit allocations comparing to credit repayment and incapability to allocate more credits to customers. The importance of credit allocation in banking industry and it’s important role in economic growth and employment creation leads the development of many models to evaluate the credit risk of applicants. But many of these models are classic and are incapable to do credit evaluation completely and efficiently. Therefore the demand to use artificial intelligence in this field has grown up. In this paper after providing appropriate credit ranking model and collecting expert’s knowledge, we design a hybrid intelligent system for credit ranking using reasoning-transformational models. Expert system as symbolic module and artificial neural network as non-symbolic module are components of this hybrid system. Such models provide the unique features of each components, the reasoning and explanation of expert system and the generalization and adaptability of artificial neural networks. The results of this system demonstrate hybrid intelligence system is more accurate and powerful in credit ranking comparing to expert systems and traditional banking models.;"Hybrid intelligent system; Neural network; Expert system; Credit ranking";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
391;“Like-Me” Simulation as an Effective and Cognitively Plausible Basis for Social Robotics;10.1007/s12369-009-0014-6;Springer;"Kennedy, William G.; Bugajska, Magdalena D.; Harrison, Anthony M.; Trafton, J. Gregory";“Like-Me” Simulation as an Effective and Cognitively Plausible Basis for Social Robotics;2009;International Journal of Social Robotics;We present a successful design approach for social robotics based on a computational cognitive architecture and mental simulation. We discuss an approach to a Theory of Mind known as a “like-me” simulation in which the agent uses its own knowledge and capabilities as a model of another agent to predict that agent’s actions. We present three examples of a “like-me” mental simulation in a social context implemented in the embodied version of the Adaptive Control of Thought-Rational (ACT-R) cognitive architecture, ACT-R/E (for ACT-R Embodied). Our examples show the efficacy of a simulation approach in modeling perspective taking (identifying another’s left or right hand), teamwork (simulating a teammate for better team performance), and dominant-submissive social behavior (primate social experiments). We conclude with a discussion of the cognitive plausibility of this approach and our conclusions.;"ACT-R; Theory of Mind; Embodied cognition; “Like-me” simulation; Cognitive plausibility";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
392;Persuasive technologies in the interface of a high-risk chemical plant production processes management system;10.1007/s10111-009-0128-5;Springer;"Vernero, Fabiana; Montanari, Roberto";Persuasive technologies in the interface of a high-risk chemical plant production processes management system;2010;Cognition, Technology & Work;This paper describes how persuasive technologies have been introduced in the interface (HCI) of a production processes management system (PPMS) adopted into a high-risk chemical plant, making the operators’ tasks safer and less afflicted by human errors. The hypothesis that persuasive technologies can contribute to improve safety was empirically confirmed in a study carried out on a real PPMS. It has been observed that this PPMS implements a persuasion strategy called tunnelling, aimed at forcing the operators to strictly follow a step-by-step and start-to-end execution of the tasks. First, a survey was conducted on a sample of 13 operators in order to investigate the role played by the PPMS, comparing it with the “functional triad” proposed by Fogg (Persuasive technology. Using computers to change what we think and do. Morgan Kaufmann Publishers, San Francisco, 2002 ). Then, an analysis on production volumes and accidents revealed that the PPMS actually encourages safer behaviours and contributed to a reduction of the number of dangerous slips and lapses since its adoption.;"Persuasive technologies; Risk management; Safety; Incident prevention; Human error";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;Operating system verification—An overview;10.1007/s12046-009-0002-4;Springer;Klein, Gerwin;Operating system verification—An overview;2009;Sadhana;This paper gives a high-level introduction to the topic of formal, interactive, machine-checked software verification in general, and the verification of operating systems code in particular. We survey the state of the art, the advantages and limitations of machine-checked code proofs, and describe two specific ongoing larger-scale verification projects in more detail.;"Formal software verification; operating systems; theorem proving";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
394;Human Factors Affecting Decision in Virtual Operator Reasoning;10.1007/978-3-642-04954-5_19;Springer;"Edward, Lydie; Lourdeaux, Domitile; Barthès, Jean-Paul";Human Factors Affecting Decision in Virtual Operator Reasoning;2009;Brain Informatics;In this paper we present our research on virtual operator cognitive modeling and reasoning. They operate in a virtual environment for risk prevention. We want to model the influence of their cognitive states and personality on their decisions and actions in the environment. The purpose of our research is to design a system that generates behavior-based errors to support learning and risk prevention. It uses new mechanisms taking into account human factors and human behavior model regarding risky situations. We make use of the COCOM and CREAM model describing the different states or control mode in which an agent can be regarding to a lack of time or a temporal pressure. A challenge is to implement these models to produce the expected flexible, contextual and erroneous behaviors in both normal and constrained working conditions.;"Human Factor; Temporal Pressure; Risk Prevention; Virtual Human; Virtual Operator";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
395;Process Trustworthiness as a Capability Indicator for Measuring and Improving Software Trustworthiness;10.1007/978-3-642-01680-6_35;Springer;"Yang, Ye; Wang, Qing; Li, Mingshu";Process Trustworthiness as a Capability Indicator for Measuring and Improving Software Trustworthiness;2009;Trustworthy Software Development Processes;"Due to increasing system decentralization, component heterogeneity, and interface complexities, many trustworthiness challenges become more and more complicated and intertwined. Moreover, there is a lack of common understanding of software trustworthiness and its related development methodology. This paper reports preliminary results from an ongoing collaborative research project among 6 international research units, which aims at exploring theories and methods for enhancing existing software process techniques for trustworthy software development. The results consist in two parts: 1) the proposal of a new concept of Process Trustworthiness, as a capability indicator to measure the relative degree of confidence for certain software processes to deliver trustworthy software; and 2) the introduction of the architecture of a Trustworthy Process Management Framework (TPMF) toolkit for process runtime support in measuring and improving process trustworthiness in order to assess and assure software trustworthiness.";"Software Trustworthiness; Process Trustworthiness; Process Trustworthiness Model; Measurement Model; Risk Management";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
396;Ergonomic Approach for the Conception of a Theatre Medical Regulation System;10.1007/978-3-642-02806-9_110;Springer;"Guessard, William; Puidupin, Alain; Besses, Richard; Miloche, Paul-Olivier; Sylvain, Aurélie";Ergonomic Approach for the Conception of a Theatre Medical Regulation System;2009;Human Centered Design;This paper is a reflection for the conception of an overseas operations’ computerised medical regulation system. After a short description of problem-solving and human error cognitive mechanisms, these concepts are used for the conception of a human centred theatre’s medical regulation system.;"Medical regulation; problem-solving; human error; human reliability";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
397;Why Do Upgrades Fail and What Can We Do about It?;10.1007/978-3-642-10445-9_18;Springer;"Dumitraş, Tudor; Narasimhan, Priya";Why Do Upgrades Fail and What Can We Do about It?;2009;Middleware 2009;Enterprise-system upgrades are unreliable and often produce downtime or data-loss. Errors in the upgrade procedure, such as broken dependencies, constitute the leading cause of upgrade failures. We propose a novel upgrade-centric fault model, based on data from three independent sources, which focuses on the impact of procedural errors rather than software defects. We show that current approaches for upgrading enterprise systems, such as rolling upgrades, are vulnerable to these faults because the upgrade is not an atomic operation and it risks breaking hidden dependencies among the distributed system-components. We also present a mechanism for tolerating complex procedural errors during an upgrade. Our system, called Imago, improves availability in the fault-free case, by performing an online upgrade, and in the faulty case, by reducing the risk of failure due to breaking hidden dependencies. Imago performs an end-to-end upgrade atomically and dependably by dedicating separate resources to the new version and by isolating the old version from the upgrade procedure. Through fault injection, we show that Imago is more reliable than online-upgrade approaches that rely on dependency-tracking and that create system states with mixed versions.;"Application Server; Enterprise System; Software Defect; Latent Error; Atomic Operation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
398;Is ISO/IEC 15504 Applicable to Agile Methods?;10.1007/978-3-642-01853-4_16;Springer;"Lami, Giuseppe; Falcini, Fabio";Is ISO/IEC 15504 Applicable to Agile Methods?;2009;Agile Processes in Software Engineering and Extreme Programming;In the last two decades several models for evaluating software process capability have been defined and became more and more popular. The application of such models, and in particular the ISO/IEC 15504, determined a general software process improvement in many domains. Nevertheless, the application of the ISO/IEC 15504 standard is still considered by many agile developers as incompatible with agile approaches. Such an attitude is mainly based on common misunderstandings on what the ISO/IEC 15504 is and on what its application involves. This paper aims at showing that this standard, if genuinely applied, can be effectively used also in agile contexts.;"Software Process Capability Determnation; ISO/IEC 15504";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
399;UML for electronic systems design: a comprehensive overview;10.1007/s10617-008-9028-9;Springer;"Vanderperren, Yves; Mueller, Wolfgang; Dehaene, Wim";UML for electronic systems design: a comprehensive overview;2008;Design Automation for Embedded Systems;UML has been widely accepted by the software community for several years. As electronic systems design can no longer be seen as an isolated hardware design activity, UML becomes of significant interest as a unification language for systems description combining both HW and SW components. This article provides a comprehensive view of the UML applied to System-on-Chip (SoC) and hardware-related embedded systems design. The modeling concepts in the UML language are first introduced, including major diagrams for the representation of the behavior and the structure of systems. The principles behind application specific UML customizations (UML profiles) are summarized, and several examples relevant for SoC design are given, such as the SysML (System Modeling Language) and the SoC Profile. Thereafter, various approaches associating UML with existing HW/SW design languages are presented. Beyond language aspects, the article addresses the question of UML-based design flows, and shows how UML can be applied concretely to the development of electronic-based systems. The current situation about tool support constitutes the last focus of the article. In particular, we show how UML tools can be combined with well-known simulation environments, such as MATLAB.;"UML; SysML; Model-based design; System specification; Modelling languages";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;Manufacturing environment-oriented robust tolerance optimization method;10.1007/s00170-008-1460-2;Springer;"Mao, J.; Cao, Y. L.; Liu, S. Q.; Yang, J. X.";Manufacturing environment-oriented robust tolerance optimization method;2009;The International Journal of Advanced Manufacturing Technology;Tolerance design has a great impact on the cost and quality of a product. Previous research focused on process tolerances or robust tolerance design with little consideration on real manufacturing context. This paper presents a nonlinear method for robust tolerance design based on the real manufacturing context in three stages. The objective function to be minimized is the total manufacturing cost. The constraint equations for the optimization model are also deduced, which select suitable manufacturing processes based on the manufacturing environment. Simulation annealing (SA) is used for the nonlinear optimization. The approach is finally illustrated by a practical example. The results of the comparison with different models indicate that the proposed approach is more effective with the manufacturing resource. The robust and reliable tolerance can be obtained.;"Manufacturing environment; Robust tolerance design; Process capability index; Simulation annealing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401;Characteristic of a Proactive Assembly System;10.1007/978-1-84800-267-8_25;Springer;"Dencker, Kerstin; Stahre, Johan; Fasth, Åsa; Gröndahl, Peter; Mårtensson, Lena; Lundholm, Thomas";Characteristic of a Proactive Assembly System;2008;Manufacturing Systems and Technologies for the New Frontier;"Competitive assembly systems must cope with frequent demand changes, requiring drastically shortened resetting and ramp-up times. Characteristics of assembly systems capable of rapid change are e.g. Flexibility; Robustness, Agility , and ability to handle frequent changes and disturbances. This paper proposes proactivity as a vital factor of semi-automated assembly systems to increase speed of change. Proactive systems utilize the full potential of human operators and technical systems. Such systems have ability to dynamically change system automation levels, resulting in decrease of time consumed for assembly tasks. Proactivity criteria for assembly systems are reviewed based on theory and industrial case studies";"Assembly System; Proactive; Automation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402;Gene Expression Programming Based on Subexpression Library and Clonal Selection;10.1007/978-3-540-92137-0_6;Springer;"Xue, Siqing; Wu, Jie";Gene Expression Programming Based on Subexpression Library and Clonal Selection;2008;Advances in Computation and Intelligence;Gene expression programming (GEP) is a recently developed evolutionary computation method for model learning and knowledge discovery. Sometimes it is not easy when use GEP to solve too complex problem, so enhancing the algorithm learning capability is necessary. This paper proposes an immune principle based GEP algorithm (iGEP), which combines gene library and clonal selection algorithm. The gene library is composed of subexpressions of GEP expression selected from the process of evolution. The proposed algorithm introduces some new features, including the best subexpression of GEP expression is selected as the solution of the problem, and some segments of gene library are used for hypermutation and receptor editing. In terms of convergence rate and computational efficiency, the experimented results on some benchmark problems of the UCI repository show that iGEP outperforms the standard GEP.;"gene expression programming; clonal selection; gene library; best subexpression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403;Process Improvement in Requirements Management: A Method Engineering Approach;10.1007/978-3-540-69062-7_2;Springer;"Brinkkemper, Sjaak; Weerd, Inge; Saeki, Motoshi; Versendaal, Johan";Process Improvement in Requirements Management: A Method Engineering Approach;2008;Requirements Engineering: Foundation for Software Quality;Method Engineering and Requirements Engineering are two research fields that can benefit from another. To increase process maturity in systems development, we propose an approach for incremental method evolution that combines capability-based and problem-based methods. With this method, we can assemble new methods, based on the process need of an organization. We show how this approach can be implemented using Computer Aided Method Engineering (CAME) technology. In addition, we demonstrate the utility of the Product Software Knowledge Infrastructure by showing an example of the insertion of cost-value prioritization as a method increment in software product management. This shows how isolated innovations in the Requirements Engineering domain can be embedded in software development practices.;"method engineering; requirements engineering; software process improvement; incremental method evolution; root cause analysis; computer aided method engineering; CAME";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
404;A Neural Network for Creative Serial Order Cognitive Behavior;10.1007/s11023-007-9085-z;Springer;Donaldson, Steve;A Neural Network for Creative Serial Order Cognitive Behavior;2008;Minds and Machines;If artificial neural networks are ever to form the foundation for higher level cognitive behaviors in machines or to realize their full potential as explanatory devices for human cognition, they must show signs of autonomy, multifunction operation, and intersystem integration that are absent in most existing models. This model begins to address these issues by integrating predictive learning, sequence interleaving, and sequence creation components to simulate a spectrum of higher-order cognitive behaviors which have eluded the grasp of simpler systems. Its capabilities are described based on simulations calling for increasing levels of functionality and are used to show how the model can progress from fundamental sequence learning and recall tasks to sophisticated behaviors such as an ability to solve simple mathematical expressions and a creative capacity for the formation and application of inductive rules.;"Predictive learning; Memory interleaving; Creativity; Inductive reasoning; Autonomous neural networks";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405;Measuring the effectiveness of a mass customization and personalization strategy: a market- and organizational-capability-based index;10.1007/s10696-008-9047-7;Springer;"Kumar, Ashok; Stecke, Kathryn E.";Measuring the effectiveness of a mass customization and personalization strategy: a market- and organizational-capability-based index;2007;International Journal of Flexible Manufacturing Systems;The research of Kumar (Int J Flex Manuf Syst 16(4):287–312, 2004) is expanded to develop a methodology that measures the effectiveness of a mass customization and personalization strategy using a mass customization and personalization effectiveness index. This index extends Kumar (2004) in three significant ways: (1) it encompasses both service and manufacturing companies, (2) the assessment of product customization considers that customers assign different weights to different product features, and (3) the index captures the impact of both market perception and system capabilities. Three different measures are proposed. Which is appropriate should be a function of a particular company’s parameters. The circumstances under which each measure is best is a subject for future research. The validation and reliability of this index and these measures are also issues that should be addressed by future research.;"Mass customization; Personalization; Index; Effectiveness of a strategy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406;Core task analysis in accident investigation: analysis of maritime accidents in piloting situations;10.1007/s10111-007-0104-x;Springer;"Nuutinen, Maaria; Norros, Leena";Core task analysis in accident investigation: analysis of maritime accidents in piloting situations;2009;Cognition, Technology & Work;This article discusses the difficulties in utilising accident analysis as the basis for the development of complex socio-technical systems, and how to improve accident analysis to better meet such aims. It focuses on two themes: accident models and experts’ involvement in accident investigation. The article describes the development of a new core task analysis-based method for accident analysis. It also elaborates on the method by presenting summarising results of an investigation in which several maritime accidents were first analysed case-by-case, followed by a comparative analysis and a synthesis. The latter phases aimed at providing evident-based generic explanations for the accidents. The accidents occurred in Finnish coastal waters during sea or canal piloting between 1997 and 2000. The authors participated in both phases of the investigation for which the Finnish Accident Investigation Board was responsible. The presented method is argued to promote solutions to two current problems in accident investigation: generalisation from the results, and integration of the experts’ work.;"Accident investigation; Accident models; Expert cooperation; Practices; Pilotage; Maritime";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407;Bringing Semantics to Web Services with OWL-S;10.1007/s11280-007-0033-x;Springer;"Martin, David; Burstein, Mark; McDermott, Drew; McIlraith, Sheila; Paolucci, Massimo; Sycara, Katia; McGuinness, Deborah L.; Sirin, Evren; Srinivasan, Naveen";Bringing Semantics to Web Services with OWL-S;2007;World Wide Web;"Current industry standards for describing Web Services focus on ensuring interoperability across diverse platforms, but do not provide a good foundation for automating the use of Web Services. Representational techniques being developed for the Semantic Web can be used to augment these standards. The resulting Web Service specifications enable the development of software programs that can interpret descriptions of unfamiliar Web Services and then employ those services to satisfy user goals. OWL-S (“OWL for Services”) is a set of notations for expressing such specifications, based on the Semantic Web ontology language OWL. It consists of three interrelated parts: a profile ontology, used to describe what the service does; a process ontology and corresponding presentation syntax, used to describe how the service is used; and a grounding ontology, used to describe how to interact with the service. OWL-S can be used to automate a variety of service-related activities involving service discovery, interoperation, and composition. A large body of research on OWL-S has led to the creation of many open-source tools for developing, reasoning about, and dynamically utilizing Web Services.";"Web Services; Semantic Web; Semantic Web Services; OWL; OWL-S; service discovery; service composition";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408;A decentralized execution model for inter-organizational workflows;10.1007/s10619-007-7012-1;Springer;"Atluri, Vijayalakshmi; Chun, Soon Ae; Mukkamala, Ravi; Mazzoleni, Pietro";A decentralized execution model for inter-organizational workflows;2007;Distributed and Parallel Databases;Workflow Management Systems (WFMS) are often used to support the automated execution of business processes. In today’s networked environment, it is not uncommon for organizations representing different business partners to collaborate for providing value-added services and products. As such, workflows representing the business processes in this loosely-coupled, dynamic and ad hoc coalition environment tend to span across the organizational boundaries. As a result, it is not viable to employ a single centralized WFMS to control the execution of the inter-organizational workflow due to limited scalability, availability and performance. To this end, in this paper, we present a decentralized workflow model , where inter-task dependencies are enforced without requiring to have a centralized WFMS. In our model, a workflow is divided into partitions called self-describing workflows , and handled by a light weight workflow management component, called the workflow stub , located at each organization. We present a performance study by considering different types of workflows with varying degrees of parallelism. Our performance results indicate that decentralized workflow management indeed enjoys significant gain in performance over its centralized counterpart in cases where there is less parallelism.;"Decentralized workflow execution; Self-describing workflow; Workflow partition; Dependency split; Workflow stub; Evaluation of workflow execution";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409;The Effectiveness of Test in Controlling Quality Costs: A Conformability Analysis Based Approach;10.1007/s10836-006-0711-0;Springer;"Gilbert, J. M.; Bell, I. M.";The Effectiveness of Test in Controlling Quality Costs: A Conformability Analysis Based Approach;2007;Journal of Electronic Testing;Test and inspection are an increasingly costly element of electronic system design and manufacture and so it is critical that the cost effectiveness of test and inspection are well understood. This paper presents techniques which may be used to assess test capability and hence the implied test quality costs of PCB level electronic circuits. The techniques presented are based on the electronic Conformability Analysis (eCA) approach which combines process capability indices and Failure Modes and Effects Analysis with a cost mapping procedure. It introduces a new measure of test capability based on the widely used process capability measure C _pk. This analysis allows the quality costs associated with design and manufacture induced faults to be estimated and the effectiveness of test strategies in reducing these costs to be determined. It allows the trade-off between quality costs and the component, manufacturing process and test costs to be explored. The technique has been applied to analogue & mixed signal, safety critical circuits from automotive systems.;"quality; test escapes; test coverage; design for test; test capability; process capability; electronics design";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
